Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Future Shock,Curtis Mayfield,Back to the World, 1980,320533,4,0.942,0.566,1,-12.585,0,0.0556,0.489,0.00238,0.0563,0.94,109.698,27
Kung Fu,Curtis Mayfield,Sweet Exorcist, 1978,372826,4,0.887,0.501,1,-9.802,0,0.0461,0.338,0.0601,0.0795,0.965,115.734,28
Move On Up,Curtis Mayfield,People Never Give Up, 1970,165789,4,0.538,0.969,11,-5.626,0,0.0907,0.419,0.00144,0.12,0.928,138.654,54
Pusherman,Curtis Mayfield,Superfly (Original Soundtrack), 1972,300693,4,0.85,0.669,10,-9.562,1,0.0379,0.238,0.0855,0.108,0.91,126.624,44
So in Love,Curtis Mayfield,There's No Place Like America Today, 1975,314226,4,0.683,0.526,8,-9.656,1,0.0437,0.138,0.00481,0.105,0.679,120.585,48
Superfly,Curtis Mayfield,Superfly (Original Soundtrack), 1972,233600,4,0.784,0.708,2,-9.141,1,0.11,0.457,0.000075,0.0913,0.748,120.11,56
Just Another Night - Without Your Love,D-Train,The Best of D Train, 1981,424477,4,0.765,0.858,11,-5.439,0,0.08,0.048,0.00152,0.0815,0.88,119.907,13
Keep Giving Me Love,D-Train,The Best of D Train, 1981,414448,4,0.67,0.874,0,-5.837,1,0.0782,0.00817,0.0000241,0.0505,0.958,122.658,28
Keep On,D-Train,The Best of D Train, 1982,399276,4,0.766,0.915,6,-5.278,0,0.117,0.0544,0.000396,0.355,0.867,117.009,39
Something's On Your Mind,D-Train,The Best of D Train, 1983,396841,4,0.805,0.678,5,-6.897,0,0.0704,0.0124,0.0000126,0.337,0.84,100.995,29
The Shadow of Your Smile,D-Train,Music, 1981,406040,4,0.763,0.72,6,-12.251,0,0.0594,0.0139,0.453,0.0501,0.748,112.854,24
Walk On By,D-Train,The Best of D Train, 1981,322721,4,0.739,0.78,10,-5.492,0,0.0719,0.0604,0.00363,0.0726,0.916,115.007,35
You're the One for Me,D-Train,You're the One for Me, 1981,309013,4,0.784,0.781,6,-6.694,0,0.0856,0.0512,0.00255,0.263,0.69,119.898,48
You're the Reason,D-Train,Something's On Your Mind, 1982,323893,4,0.661,0.34,0,-10.375,1,0.0347,0.506,0.0000244,0.185,0.326,138.554,22
I Can Dream About You,Dan Hartman,I Can Dream About You, 1984,252600,4,0.754,0.562,9,-11.275,1,0.0489,0.0835,0,0.0328,0.897,113.019,57
Instant Replay,Dan Hartman,Keep The Fire Burnin', 1978,320333,4,0.754,0.724,9,-6.058,0,0.0656,0.0158,0.000405,0.0611,0.954,128.925,40
Relight My Fire - Single Version,Dan Hartman,Relight My Fire (Expanded Edition), 1979,225893,4,0.787,0.662,0,-11.447,1,0.0378,0.0148,0,0.328,0.868,119.734,50
Baby Let Me Take You (In My Arms),Detroit Emeralds,"You Want It, You Got It", 1973,230368,4,0.683,0.482,6,-9.147,0,0.034,0.233,0.000249,0.0639,0.552,81.473,41
Do Me Right,Detroit Emeralds,Do Me Right, 1972,170741,4,0.834,0.642,2,-9.511,1,0.0501,0.221,0.000268,0.0713,0.974,113.081,15
Feel The Need In Me,Detroit Emeralds,"You Want It, You Got It", 1973,221941,4,0.779,0.385,11,-12.333,0,0.0556,0.222,0.00000123,0.151,0.763,118.177,35
Holding On,Detroit Emeralds,Do Me Right, 1974,158762,4,0.637,0.571,7,-10.169,0,0.0391,0.404,0.00000368,0.117,0.9,122.738,4
I Think Of You,Detroit Emeralds,I'm In Love With You, 1973,264031,4,0.679,0.339,7,-16.136,1,0.0336,0.685,0.00000862,0.458,0.575,104.091,1
If I Lose Your Love,Detroit Emeralds,Do Me Right, 1974,194143,3,0.472,0.296,9,-13.276,1,0.055,0.787,0.00148,0.194,0.499,185.345,3
You're Getting A Little Too Smart,Detroit Emeralds,I'm In Love With You, 1973,214997,4,0.801,0.401,9,-14.903,1,0.0479,0.0355,0.00286,0.259,0.697,97.089,7
Chain Reaction,Diana Ross,Eaten Alive (Expanded Edition), 1985,227880,4,0.806,0.6,11,-9.642,1,0.0329,0.091,0.000436,0.0836,0.756,127.814,41
I Thought It Took A Little Time (But Today I Fell In Love),Diana Ross,Diana Ross (Expanded Edition), 1981,205333,4,0.402,0.622,6,-9.282,1,0.0859,0.396,0.000101,0.217,0.415,133.49,21
I'm Coming Out,Diana Ross,Diana, 1980,323346,4,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,70
It's My House,Diana Ross,The Boss (Expanded Edition), 1980,274560,4,0.762,0.67,5,-5.862,1,0.0718,0.29,0.00000668,0.0783,0.87,99.472,50
Love Hangover,Diana Ross,Diana Ross (Expanded Edition), 1976,468640,4,0.508,0.669,1,-10.342,1,0.0377,0.241,0.0148,0.0523,0.875,112.437,49
The Boss,Diana Ross,The Boss (Expanded Edition), 1979,241333,4,0.639,0.905,4,-4.215,0,0.0543,0.235,0.0000493,0.206,0.825,123.664,49
Upside Down,Diana Ross,Diana, 1980,245600,4,0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,68
Where Did We Go Wrong,Diana Ross,Ross, 1981,265226,4,0.361,0.467,8,-11.395,1,0.033,0.425,0.00285,0.0737,0.188,126.142,6
Work That Body,Diana Ross,Why Do Fools Fall in Love (Expanded Edition), 1981,299093,4,0.865,0.737,7,-7.175,0,0.07,0.233,0.0000359,0.649,0.848,110.921,14
Bad Girls,Donna Summer,Bad Girls, 1979,295106,4,0.857,0.7,2,-14.506,0,0.0358,0.00387,0.0162,0.411,0.973,120.529,61
Dim All The Lights,Donna Summer,Bad Girls, 1979,280800,4,0.79,0.624,7,-13.953,1,0.0322,0.0322,0.00114,0.187,0.82,120.56,44
Heaven Knows,Donna Summer,On The Radio: Greatest Hits Volumes I & II, 1979,210976,4,0.702,0.733,8,-12.394,1,0.0528,0.0734,0.0000171,0.672,0.866,131.732,46
Hot Stuff,Donna Summer,Bad Girls, 1979,314760,4,0.823,0.744,0,-13.98,1,0.0316,0.0055,0.033,0.0707,0.966,120.471,66
I Feel Love,Donna Summer,The Dance Collection, 1977,493600,4,0.689,0.675,0,-16.248,1,0.0434,0.0127,0.647,0.0987,0.937,128.1,51
Last Dance,Donna Summer,On The Radio: Greatest Hits Volumes I & II, 1978,296506,4,0.604,0.609,3,-13.399,1,0.0441,0.12,0.00241,0.22,0.498,125.37,53
Love To Love You Baby,Donna Summer,Love To Love You Baby, 1975,1008533,4,0.622,0.425,10,-16.256,1,0.052,0.292,0.0000573,0.0498,0.417,96.168,50
MacArthur Park - Single Version,Donna Summer,On The Radio: Greatest Hits Volumes I & II, 1978,235200,4,0.579,0.667,4,-12.361,0,0.0401,0.0829,0.000616,0.0547,0.449,131.023,50
On The Radio,Donna Summer,On The Radio: Greatest Hits Volumes I & II, 1979,241506,4,0.734,0.45,4,-13.92,0,0.0345,0.113,0.0000115,0.296,0.598,127.46,59
Sunset People,Donna Summer,On The Radio: Greatest Hits Volumes I & II, 1979,272906,4,0.722,0.559,9,-16.716,1,0.0517,0.0174,0.0172,0.0745,0.951,140.857,33
After the Love Has Gone,"Earth, Wind & Fire",I Am, 1979,278040,4,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,66
"Boogie Wonderland (with The Emotions) - 12"" Version","Earth, Wind & Fire",The Essential Emotions - The Columbia Years, 1979,495773,4,0.766,0.857,2,-8.647,0,0.03,0.0414,0.366,0.0288,0.967,131.982,43
Fantasy,"Earth, Wind & Fire",All 'N All, 1978,277413,4,0.608,0.745,4,-8.772,0,0.0857,0.323,0.00428,0.135,0.614,88.941,57
Getaway,"Earth, Wind & Fire",Spirit, 1976,227080,4,0.724,0.879,5,-9.412,0,0.0369,0.124,0.0155,0.359,0.826,112.595,46
In the Stone,"Earth, Wind & Fire",I Am, 1979,288480,4,0.656,0.662,4,-10.346,1,0.0493,0.0964,0.000612,0.0853,0.717,114.612,54
Let's Groove,"Earth, Wind & Fire",Raise!, 1981,339320,4,0.869,0.648,11,-8.698,0,0.0633,0.121,0.0000217,0.126,0.9,125.035,76
September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1", 1978,215093,4,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,74
Serpentine Fire,"Earth, Wind & Fire",All 'N All, 1977,230760,4,0.773,0.917,0,-7.333,1,0.037,0.184,0.00463,0.116,0.946,139.872,48
Shining Star,"Earth, Wind & Fire",That's The Way Of The World, 1975,170160,4,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,63
Sing a Song,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1", 1975,203293,4,0.813,0.622,9,-9.806,1,0.0446,0.149,0.000982,0.0822,0.973,122.72,41
Ask Me,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain", 1975,243426,4,0.722,0.745,5,-8.516,1,0.0475,0.0912,0.00147,0.111,0.819,116.727,16
"Touch and Go - 12"" Version","Ecstasy, Passion & Pain","Ecstasy, Passion & Pain", 1977,305986,4,0.722,0.859,11,-7.741,0,0.147,0.079,0.00142,0.0616,0.486,113.332,21
Boogie Down,Eddie Kendricks,20th Century Masters: The Millennium Collection: Best of Eddie Kendricks, 1978,233066,4,0.718,0.65,5,-10.2,0,0.0299,0.258,0.0194,0.325,0.921,114.543,34
Date With The Rain,Eddie Kendricks,People... Hold On, 1977,160906,4,0.619,0.723,9,-12.351,1,0.128,0.353,0,0.122,0.563,123.132,33
Get The Cream Off The Top,Eddie Kendricks,The Hit Man, 1978,187440,4,0.726,0.679,1,-10.418,1,0.0648,0.331,0,0.517,0.944,108.474,8
Girl You Need A Change Of Mind,Eddie Kendricks,People... Hold On, 1972,462493,4,0.472,0.724,2,-12.56,0,0.0405,0.143,0.0148,0.285,0.832,104.035,40
He's A Friend,Eddie Kendricks,He's A Friend, 1974,283933,4,0.628,0.759,0,-7.794,0,0.0422,0.473,0.0000134,0.115,0.743,104.932,23
Intimate Friends,Eddie Kendricks,Slick, 1973,353453,4,0.52,0.516,9,-9.996,1,0.0259,0.439,0.000299,0.0614,0.657,149.959,47
Keep On Truckin',Eddie Kendricks,Eddie Kendricks, 1973,479413,4,0.45,0.81,1,-9.762,1,0.0472,0.122,0.00963,0.0412,0.86,101.568,38
Old Home Town,Eddie Kendricks,Love Keys, 1974,231973,4,0.602,0.264,10,-16.306,1,0.0369,0.831,0.000569,0.126,0.365,98.184,2
One Tear,Eddie Kendricks,20th Century Masters: The Millennium Collection: Best of Eddie Kendricks, 1973,248666,4,0.665,0.653,1,-8.692,1,0.0415,0.0767,0.0045,0.172,0.674,100.148,1
Tell Her Love Has Felt The Need,Eddie Kendricks,Boogie Down, 1973,265613,4,0.485,0.491,0,-11.675,0,0.0351,0.55,0.000499,0.113,0.623,142.857,22
Contact - Extended Mix,Edwin Starr,20th Century Masters: The Millennium Collection: Best of Edwin Starr, 1980,437600,4,0.771,0.818,6,-9.442,1,0.0666,0.0537,0.0225,0.0913,0.922,131.013,23
Funky Music Sho Nuff Turns Me On,Edwin Starr,Involved, 1976,189466,4,0.556,0.872,5,-9.028,1,0.0436,0.232,0,0.364,0.964,87.621,30
H.A.P.P.Y. Radio - Rerecorded,Edwin Starr,H.A.P.P.Y. Radio (UK Chart Top 40 - No. 9), 1980,206600,4,0.807,0.784,5,-7.075,1,0.0442,0.113,0,0.229,0.969,134.026,31
I Am The Man For You Baby,Edwin Starr,Soul Master, 1975,162093,4,0.596,0.704,0,-7.575,1,0.043,0.171,0,0.449,0.794,97.121,5
Running Back And Forth,Edwin Starr,War And Peace, 1975,165066,4,0.644,0.59,11,-12.381,0,0.0492,0.774,0.0000578,0.475,0.884,103.157,33
Twenty Five Miles,Edwin Starr,25 Miles, 1969,198213,4,0.814,0.836,1,-7.376,1,0.0607,0.0595,0.0000149,0.224,0.964,124.567,50
War,Edwin Starr,20th Century Masters: The Millennium Collection: Best of Edwin Starr, 1970,230106,4,0.571,0.752,1,-9.245,1,0.128,0.0535,0,0.105,0.721,109.015,48
Back to Love,"Evelyn ""Champagne"" King",Get Loose, 1985,312066,4,0.882,0.722,4,-4.826,0,0.0311,0.107,0.00000209,0.0779,0.925,115.326,34
"Give It Up - 7"" Single Version","Evelyn ""Champagne"" King",A Long Time Coming (Expanded Edition), 1983,230826,4,0.792,0.755,0,-8.841,1,0.0337,0.00797,0.00014,0.0872,0.857,124.79,29
I Think My Heart Is Telling,"Evelyn ""Champagne"" King",Music Box (Expanded Edition), 1981,259546,4,0.738,0.494,9,-11.928,0,0.0392,0.406,0.00114,0.321,0.658,134.258,33
I'm In Love,"Evelyn ""Champagne"" King","Love Come Down: The Best of Evelyn ""Champagne"" King", 1981,301493,4,0.912,0.392,5,-12.01,0,0.0916,0.0372,0.198,0.27,0.791,114.929,47
If You Want My Lovin',"Evelyn ""Champagne"" King",I'm In Love (Expanded Edition), 1981,259946,4,0.903,0.644,9,-6.519,0,0.0737,0.0184,0.00198,0.0642,0.773,115.594,34
Love Come Down,"Evelyn ""Champagne"" King",Get Loose, 1982,365760,4,0.904,0.624,3,-5.936,0,0.045,0.00622,0.00171,0.0304,0.804,115.735,54
Shake Down,"Evelyn ""Champagne"" King","Love Come Down: The Best of Evelyn ""Champagne"" King", 1984,233000,4,0.81,0.674,0,-11.012,1,0.0494,0.00219,0.297,0.044,0.377,110.01,5
Shame,"Evelyn ""Champagne"" King","Love Come Down: The Best of Evelyn ""Champagne"" King", 1978,392800,4,0.714,0.665,11,-10.948,0,0.0381,0.00588,0.131,0.0655,0.805,133.805,47
"Take a Chance - 7""","Evelyn ""Champagne"" King",A Long Time Coming (Expanded Edition), 1982,273026,4,0.813,0.853,1,-7.536,0,0.0424,0.0269,0.000995,0.292,0.933,122.544,10
(Are You Ready) Do the Bus Stop,Fatback Band,Hustle! The Ultimate Fatback, 1975,194026,4,0.604,0.876,0,-9.356,1,0.0337,0.00287,0.328,0.0814,0.96,108.906,35
Backstrokin',Fatback Band,Hustle! The Ultimate Fatback, 1975,226653,4,0.892,0.674,6,-8.422,1,0.109,0.0783,0.00442,0.0533,0.802,116.494,43
Gotta Get My Hands on Some (Money),Fatback Band,Hot Box, 1975,473773,4,0.848,0.697,7,-9.252,0,0.0999,0.243,0.343,0.0894,0.846,119.194,24
I Found Lovin',Fatback Band,With Love, 1975,250506,4,0.718,0.587,6,-9.435,0,0.038,0.000211,0.0396,0.177,0.423,105.434,50
I Like Girls,Fatback Band,Hustle! The Ultimate Fatback, 1983,227946,5,0.716,0.928,5,-7.757,0,0.0923,0.0308,0.115,0.168,0.869,104.129,22
King Tim III (Personality Jock),Fatback Band,Hustle! The Ultimate Fatback, 1979,246773,4,0.735,0.905,0,-7.784,1,0.0608,0.00735,0.0000858,0.134,0.841,119.349,17
Spanish Hustle,Fatback Band,Hustle! The Ultimate Fatback, 1975,205213,4,0.426,0.97,10,-6.928,1,0.103,0.00357,0.207,0.0817,0.65,123.723,23
Armed and Extremely Dangerous,First Choice,"Philly Groove Records Presents: The Early Years, Vol. 1", 1973,171000,4,0.623,0.691,5,-13.879,0,0.0474,0.0184,0.0000792,0.416,0.823,123.28,36
"Doctor Love (Tom Moulton 12"" Mix)",First Choice,Delusions (Bonus Version), 1977,457746,4,0.502,0.871,0,-5.691,0,0.0491,0.0211,0.00383,0.667,0.714,118.879,25
Let No Man Put Asunder,First Choice,Delusions (Bonus Version), 1977,264746,4,0.567,0.847,11,-5.681,1,0.1,0.101,0,0.175,0.759,119.581,31
Love and Happiness,First Choice,"Philly Groove Records Presents: The Early Years, Vol. 2", 1973,199640,4,0.763,0.5,10,-14.389,0,0.15,0.184,0.00235,0.0476,0.614,105.794,39
Love Thang,First Choice,Grandmaster Flash Presents: Salsoul Jam 2000, 1973,476406,4,0.808,0.652,10,-9.017,0,0.129,0.0269,0.0414,0.426,0.792,110.85,32
Newsy Neighbors,First Choice,"Philly Groove Records Presents: The Early Years, Vol. 2", 1974,205960,4,0.742,0.553,0,-13.532,1,0.0505,0.202,0.00000203,0.0515,0.844,127.207,13
Smarty Pants,First Choice,"Philly Groove Records Presents: The Early Years, Vol. 3", 1973,159066,4,0.72,0.715,7,-14.355,0,0.262,0.369,0,0.0928,0.359,113.862,27
The Player,First Choice,"Philly Groove Records Presents: The Early Years, Vol. 3", 1973,230466,4,0.51,0.774,10,-14.84,0,0.0702,0.0585,0.000634,0.342,0.515,116.252,28
Come to Me,France Joli,Come to Me, 1978,590986,4,0.715,0.653,1,-8.827,1,0.0589,0.00801,0.00198,0.0681,0.594,132.273,39
Feel Like Dancing,France Joli,Tonight, 1979,437173,4,0.733,0.737,8,-8.885,0,0.043,0.0715,0.124,0.0594,0.955,115.987,23
Gonna Get Over You,France Joli,Now!, 1981,251360,4,0.776,0.601,5,-9.335,0,0.0658,0.0192,0.00074,0.0366,0.898,109.976,48
Party Lights,France Joli,Witch of Love (Expanded Edition), 1981,328626,4,0.658,0.743,11,-6.217,0,0.033,0.0105,0.00806,0.191,0.597,136.182,0
Boogie Oogie Oogie,G.Q.,Disco Nights (Expanded Edition), 1978,254880,4,0.743,0.567,0,-15.188,1,0.039,0.0271,0.00782,0.0424,0.964,126.259,23
Disco Nights (Rock Freak),G.Q.,Disco Nights (Expanded Edition), 1978,354906,4,0.798,0.528,5,-12.228,0,0.0531,0.0116,0.00379,0.0446,0.898,122.61,39
I Do Love You,G.Q.,Disco Nights (Expanded Edition), 1979,288733,4,0.465,0.48,7,-13.653,1,0.202,0.0343,0.00000293,0.0427,0.365,184.611,50
It's Your Love,G.Q.,Disco Nights (Expanded Edition), 1979,256666,4,0.391,0.611,6,-12.523,1,0.0521,0.0576,0.00598,0.13,0.721,176.345,18
Make My Dreams a Reality,G.Q.,Disco Nights (Expanded Edition), 1980,375920,4,0.771,0.49,7,-13.39,1,0.0607,0.0483,0.00548,0.0572,0.962,122.322,22
Spirit,G.Q.,Disco Nights (Expanded Edition), 1980,229800,4,0.768,0.636,1,-13.368,1,0.0571,0.0408,0.000268,0.311,0.952,120.321,6
This Happy Feeling,G.Q.,Disco Nights (Expanded Edition), 1979,324893,4,0.735,0.657,7,-12.226,0,0.0622,0.00375,0.0661,0.0483,0.96,130.317,16
Wonderful,G.Q.,Disco Nights (Expanded Edition), 1980,310440,4,0.656,0.776,6,-12.354,0,0.0469,0.0366,0.000221,0.0827,0.931,116.91,10
Dance to Dance,Gino Soccio,Outline, 1980,431026,4,0.852,0.518,8,-10.148,1,0.097,0.042,0.275,0.0548,0.392,128.26,21
Dancer,Gino Soccio,Outline, 1980,508120,4,0.896,0.339,11,-9.576,0,0.0884,0.0183,0.552,0.0311,0.389,122.106,43
Hold Tight,Gino Soccio,Closer, 1981,318466,4,0.913,0.292,3,-16.416,1,0.0891,0.00365,0.00485,0.0445,0.891,120.017,33
It's Alright,Gino Soccio,Face To Face, 1981,457960,4,0.89,0.293,11,-15.038,0,0.102,2.59E-05,0.931,0.0508,0.567,117.89,25
Remember,Gino Soccio,Face To Face, 1981,395200,3,0.499,0.506,9,-16.778,0,0.149,1.65E-05,0.941,0.0784,0.353,186.328,23
The Visitors (Original),Gino Soccio,Outline, 1981,408866,4,0.74,0.489,6,-11.265,1,0.0327,4.04E-05,0.822,0.0872,0.636,134.855,28
Try It Out,Gino Soccio,Closer, 1981,496466,4,0.854,0.417,11,-14.713,0,0.0899,0.00283,0.157,0.0205,0.716,113.615,40
Who Dunnit?,Gino Soccio,Face To Face, 1982,354400,4,0.826,0.312,8,-15.313,1,0.0984,4.87E-05,0.83,0.0807,0.692,120.473,11
I Need A Man,Grace Jones,Portfolio, 1980,203840,4,0.567,0.572,1,-15.538,1,0.0502,0.131,0,0.178,0.766,131.634,30
La vie en rose,Grace Jones,Portfolio, 1977,448000,4,0.65,0.477,0,-16.007,1,0.0624,0.225,0.016,0.0642,0.798,176.708,54
Love On Top Of Love,Grace Jones,20 #1's: 80's Club Classics, 1980,368146,4,0.708,0.951,10,-5.638,0,0.0729,0.00718,0.00113,0.193,0.712,105.157,9
My Jamaican Guy,Grace Jones,20th Century Masters: The Millennium Collection: Best Of Grace Jones, 1982,360986,4,0.764,0.941,7,-8.019,1,0.0691,0.0633,0.0477,0.0535,0.481,94.557,22
Private Life,Grace Jones,Warm Leatherette, 1980,313553,4,0.83,0.538,11,-14.309,0,0.0478,0.016,0.774,0.0739,0.96,132.312,36
Pull Up To The Bumper,Grace Jones,Nightclubbing, 1981,281693,4,0.848,0.868,1,-7.599,1,0.0858,0.142,0.013,0.134,0.871,108.623,50
Slave To The Rhythm - Hot Blooded Version,Grace Jones,Private Life: The Compass Point Sessions, 1985,498840,4,0.595,0.836,1,-6.917,1,0.0358,0.0603,0.0477,0.326,0.628,97.095,44
Walking In The Rain,Grace Jones,Nightclubbing, 1981,258786,4,0.849,0.755,4,-8.939,0,0.034,0.0202,0.782,0.0815,0.952,131.719,40
Warm Leatherette,Grace Jones,Warm Leatherette, 1980,268500,4,0.742,0.544,7,-11.869,1,0.0443,0.00117,0.0128,0.0444,0.724,107.417,30
Bad Luck (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,To Be True (Expanded Edition) (feat. Teddy Pendergrass), 1975,386426,4,0.611,0.634,9,-12.988,1,0.1,0.0226,0,0.145,0.577,118.986,40
Don't Leave Me This Way (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass), 1975,363973,4,0.472,0.71,0,-8.852,1,0.0599,0.278,0.00000136,0.103,0.527,120.052,54
If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes (feat. Teddy Pendergrass), 1972,205906,3,0.345,0.465,11,-9.55,1,0.0355,0.721,0.000371,0.582,0.457,94.983,59
Satisfaction Guaranteed (Or Take Your Love Back) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Black & Blue (Expanded Edition) (feat. Teddy Pendergrass), 1975,210186,4,0.724,0.853,9,-4.951,0,0.139,0.0761,0,0.193,0.736,126.462,29
Tell the World How I Feel About 'Cha Baby (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass), 1975,352666,4,0.518,0.83,0,-8.104,1,0.0702,0.0338,0.0000204,0.0815,0.76,126.98,27
The Love I Lost (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Black & Blue (Expanded Edition) (feat. Teddy Pendergrass), 1973,384613,4,0.665,0.859,2,-4.532,1,0.0671,0.119,0,0.0769,0.639,123.387,54
Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass), 1975,452773,4,0.565,0.644,6,-8.116,1,0.0696,0.426,0,0.264,0.633,97.716,54
Where Are All My Friends (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,To Be True (Expanded Edition) (feat. Teddy Pendergrass), 1976,199480,4,0.604,0.628,7,-11.946,1,0.0746,0.0158,0,0.0612,0.69,128.631,32
You Know How to Make Me Feel so Good (feat. Sharon Paige),Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass), 1977,316893,4,0.528,0.444,11,-11.824,0,0.0279,0.58,0,0.372,0.643,90.575,43
Always and Forever,Heatwave,Too Hot to Handle (Expanded Edition), 1976,377106,3,0.333,0.156,2,-17.574,1,0.0335,0.286,0.0000232,0.151,0.195,71.441,52
Boogie Nights,Heatwave,Too Hot to Handle (Expanded Edition), 1977,303640,4,0.629,0.615,11,-10.972,0,0.0433,0.169,0.0000723,0.132,0.673,118.805,57
Gangsters of the Groove - Single Version,Heatwave,Candles (Expanded Edition), 1978,242373,4,0.808,0.616,4,-6.677,1,0.0284,0.0178,0.00663,0.0917,0.805,113.064,24
Lettin' It Loose,Heatwave,Current (Expanded Edition), 1979,263013,4,0.867,0.729,0,-6.434,0,0.0348,0.055,0.0000307,0.294,0.96,109.753,18
Look After Love,Heatwave,Current (Expanded Edition), 1980,263693,3,0.536,0.27,7,-9.477,1,0.0253,0.723,0.00587,0.131,0.106,100.703,20
Mind Blowing Decisions,Heatwave,Central Heating (Expanded Edition), 1977,259453,4,0.705,0.448,0,-11.375,1,0.0502,0.473,0,0.126,0.703,92.417,43
Posin' 'Til Closin',Heatwave,Candles (Expanded Edition), 1978,300320,4,0.735,0.684,8,-7.678,1,0.0232,0.066,0.00116,0.163,0.94,105.722,18
The Big Guns,Heatwave,Heatwave's Greatest Hits, 1979,245466,4,0.677,0.586,5,-12.923,0,0.0291,0.0177,0.849,0.0521,0.777,111.755,35
The Groove Line,Heatwave,Central Heating (Expanded Edition), 1978,264120,4,0.745,0.734,11,-9.835,0,0.03,0.0801,0.00471,0.299,0.777,119.634,51
Girls It Ain't Easy,Honey Cone,Take Me with You, 1971,194760,4,0.716,0.465,8,-10.119,1,0.0308,0.166,0,0.148,0.847,111.83,25
Innocent 'Til Proven Guilty,Honey Cone,"Love, Peace & Soul", 1972,210360,4,0.393,0.713,4,-7.607,1,0.0625,0.156,0.000927,0.0831,0.905,174.427,18
One Monkey Don't Stop No Show - Pt. 1,Honey Cone,Soulful Tapestry, 1971,211373,4,0.765,0.698,6,-8.162,1,0.0365,0.107,0.0000559,0.0791,0.962,116.76,17
Stick Up,Honey Cone,Soulful Tapestry, 1971,184880,4,0.676,0.738,8,-7.825,0,0.0416,0.206,0,0.182,0.891,97.695,22
The Day I Found Myself - Single Version,Honey Cone,Sweet Replies, 1971,186760,4,0.732,0.396,6,-9.435,1,0.0342,0.349,0,0.212,0.872,98.401,8
Want Ads,Honey Cone,Sweet Replies, 1970,168386,4,0.644,0.775,1,-9.265,1,0.175,0.0672,0.00103,0.128,0.884,188.673,31
Love Corporation,Hues Corporation,Love Corporation (Expanded Edition), 1977,201186,4,0.729,0.876,3,-8.882,1,0.033,0.0854,0.000426,0.638,0.972,127.048,13
Rock the Boat,Hues Corporation,Freedom for the Stallion (Expanded Edition), 1974,202573,4,0.596,0.58,3,-9.72,1,0.0446,0.256,0,0.1,0.884,107.182,64
Disco Connection,Isaac Hayes,Ultimate Isaac Hayes: Can You Dig It?, 1975,219840,4,0.628,0.707,5,-12.212,1,0.0362,0.167,0.79,0.655,0.937,128.603,20
Don't Let Go,Isaac Hayes,Don't Let Go (Expanded Edition), 1979,435160,4,0.864,0.691,8,-9.118,1,0.0626,2.54E-05,0.778,0.0415,0.962,136.701,33
Hung Up On My Baby,Isaac Hayes,Tough Guys, 1974,377639,4,0.678,0.695,4,-9.825,0,0.0284,0.181,0.635,0.0459,0.937,102.511,47
I Can't Turn Around,Isaac Hayes,Isaac Hayes Sings For Lovers, 1975,391160,4,0.72,0.793,4,-11.517,0,0.0487,0.208,0.000466,0.351,0.688,114.57,7
Medley: I Just Want To Make Love To You/Rock Me Baby,Isaac Hayes,Presenting Isaac Hayes, 1975,541226,4,0.515,0.195,3,-18.009,1,0.0869,0.86,0.0000818,0.255,0.479,138.339,7
Run Fay Run,Isaac Hayes,Kill Bill Vol. 1 Original Soundtrack (PA Version), 1975,166786,4,0.753,0.908,0,-8.304,0,0.0541,0.0113,0.646,0.0455,0.963,118.618,38
The Look Of Love,Isaac Hayes,...To Be Continued, 1974,673322,4,0.452,0.328,8,-14.561,0,0.0345,0.402,0.0326,0.111,0.483,93.12,34
Theme From Shaft - Remastered 2009,Isaac Hayes,Shaft (Deluxe Edition),1971,279200,4,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,56
